archivo,ficha_url
actos-de-bondad.png,https://mundoja.org/component/content/article/1277-actos-de-bondad
amigos-de-la-biblia.png,https://mundoja.org/component/content/article/604-amigos-de-la-biblia
amigos-de-la-biblia2.png,https://mundoja.org/component/content/article/624-amigos-de-la-biblia
biblia1.png,https://mundoja.org/component/content/article/575-biblia-i
biblia2.png,https://mundoja.org/component/content/article/576-biblia-ii
biblia3.png,https://mundoja.org/component/content/article/1278-biblia-iii
biblia4.png,https://mundoja.org/component/content/article/1279-biblia-iv
realeza-biblica.png,https://mundoja.org/component/content/article/586-realeza-biblica
narracion-de-la-biblia.png,https://mundoja.org/component/content/article/1280-narracion-de-la-biblia
pan-de-vida.png,https://mundoja.org/component/content/article/1281-pan-de-vida
creacion.png,https://mundoja.org/component/content/article/1282-creacion
sabado-de-delicia.png,https://mundoja.org/component/content/article/1283-sabado-de-delicia
discipulos.png,https://mundoja.org/component/content/article/577-discipulos
pioneros-adventistas.png,https://mundoja.org/component/content/article/584-pioneros-adventistas
amigo-de-jesus.png,https://mundoja.org/component/content/article/573-amigo-de-jesus
frutos-del-espiritu.png,https://mundoja.org/component/content/article/578-frutos-del-espiritu
el-mundo-de-Dios.png,https://mundoja.org/component/content/article/641-el-mundo-de-dios
buen-samaritano.png,https://mundoja.org/component/content/article/1284-buen-samaritano
la-cena-especial-de-jesus.png,https://mundoja.org/component/content/article/648-la-cena-especial-de-jesus
estrella-de-jesus.png,https://mundoja.org/component/content/article/633-estrella-de-jesus
escuchando.png,https://mundoja.org/component/content/article/1285-escuchando
nino-jesus.png,https://mundoja.org/component/content/article/621-nino-jesus
mi-iglesia.png,https://mundoja.org/component/content/article/581-mi-iglesia
mi-amigo-jesus.png,https://mundoja.org/component/content/article/620-mi-amigo-jesus
parabolas-de-jesus.png,https://mundoja.org/component/content/article/1286-parabolas-de-jesus
puertas-de-perla.png,https://mundoja.org/component/content/article/585-puertas-de-perla
oracion.png,https://mundoja.org/component/content/article/582-oracion
guerrero-de-oracion.png,https://mundoja.org/component/content/article/579-paladin-de-oracion
pureza.png,https://mundoja.org/component/content/article/1287-pureza
promesas-del-arco-iris.png,https://mundoja.org/component/content/article/574-promesa-del-arco-iris
pasos-a-jesus.png,https://mundoja.org/component/content/article/583-pasos-a-jesus
tabernaculo.png,https://mundoja.org/component/content/article/1288-tabernaculo
temperancia.png,https://mundoja.org/component/content/article/587-temperancia
mayordomo-sabio.png,https://mundoja.org/component/content/article/580-mayordomo-sabio
